activity__sum_values,activity__median,activity__mean,activity__length,activity__standard_deviation,activity__variance,activity__root_mean_square,activity__maximum,activity__absolute_maximum,activity__minimum
247904.0,0.0,172.15554809570312,1440.0,301.27685546875,90767.75,346.99462890625,1829.0,1829.0,0.0
353887.0,32.0,245.75486755371094,1440.0,372.7485046386719,138941.4375,446.4715881347656,1946.0,1946.0,0.0
260709.0,1.5,181.04791259765625,1440.0,322.6638488769531,104111.953125,369.98687744140625,2072.0,2072.0,0.0
119886.0,0.0,83.25416564941406,1440.0,191.73646545410156,36762.87109375,209.03138732910156,1379.0,1379.0,0.0
207247.0,0.0,143.92152404785156,1440.0,255.2360382080078,65145.43359375,293.01678466796875,1379.0,1379.0,0.0
205941.0,0.0,143.01458740234375,1440.0,269.8783874511719,72834.3359375,305.4300231933594,1614.0,1614.0,0.0
285487.0,22.0,198.25486755371094,1440.0,318.8608093261719,101672.21875,375.4693298339844,1946.0,1946.0,0.0
459140.0,54.5,318.84722900390625,1440.0,405.8835144042969,164741.4375,516.1444091796875,2347.0,2347.0,0.0
307182.0,3.0,213.32083129882812,1440.0,326.0505065917969,106308.9296875,389.6340637207031,1829.0,1829.0,0.0
386841.0,34.0,268.63958740234375,1440.0,437.1514587402344,191101.40625,513.0971069335938,2420.0,2420.0,0.0
192359.0,0.0,133.5826416015625,1440.0,241.62416076660156,58382.234375,276.091552734375,1423.0,1423.0,0.0
216500.0,0.0,150.34722900390625,1440.0,241.01722717285156,58089.3046875,284.0661926269531,1217.0,1217.0,0.0
163087.0,0.0,113.2548599243164,1440.0,229.06854248046875,52472.39453125,255.53680419921875,1564.0,1564.0,0.0
87565.0,0.0,60.80902862548828,1440.0,171.61009216308594,29450.025390625,182.0652618408203,1379.0,1379.0,0.0
103655.0,0.0,71.98263549804688,1440.0,188.4650421142578,35519.07421875,201.74383544921875,1468.0,1468.0,0.0
85978.0,3.0,59.70694351196289,1440.0,133.07215881347656,17708.201171875,145.8530731201172,1620.0,1620.0,0.0
114071.0,20.0,79.21597290039062,1440.0,157.97515869140625,24956.150390625,176.72384643554688,1954.0,1954.0,0.0
91767.0,9.0,63.72708511352539,1440.0,125.26876831054688,15692.263671875,140.54681396484375,1428.0,1428.0,0.0
110048.0,9.0,76.42222595214844,1440.0,172.37957763671875,29714.71875,188.56053161621094,2214.0,2214.0,0.0
99599.0,8.0,69.16596984863281,1440.0,140.94700622558594,19866.060546875,157.00315856933594,1836.0,1836.0,0.0
91778.0,0.0,63.73472213745117,1440.0,131.32647705078125,17246.642578125,145.97518920898438,1260.0,1260.0,0.0
84715.0,13.0,58.82986068725586,1440.0,126.80970001220703,16080.7001953125,139.7914581298828,1672.0,1672.0,0.0
114450.0,32.0,79.47916412353516,1440.0,122.46600341796875,14997.921875,145.99609375,1221.0,1221.0,0.0
147080.0,44.0,102.13888549804688,1440.0,173.42430114746094,30075.986328125,201.26683044433594,2016.0,2016.0,0.0
107198.0,5.0,74.44305419921875,1440.0,135.3499755859375,18319.6171875,154.47129821777344,1384.0,1384.0,0.0
173317.0,76.0,120.35902404785156,1440.0,141.8928680419922,20133.583984375,186.06417846679688,1010.0,1010.0,0.0
156832.0,58.0,108.9111099243164,1440.0,166.22763061523438,27631.626953125,198.72911071777344,2430.0,2430.0,0.0
190159.0,88.0,132.0548553466797,1440.0,176.9790496826172,31321.583984375,220.8168182373047,1894.0,1894.0,0.0
150834.0,64.0,104.74583435058594,1440.0,126.01197052001953,15879.017578125,163.8618621826172,1260.0,1260.0,0.0
50677.0,0.0,35.192359924316406,1440.0,109.00013732910156,11881.0302734375,114.54052734375,1146.0,1146.0,0.0
322473.0,87.0,223.93959045410156,1440.0,328.5657043457031,107955.421875,397.6233825683594,2297.0,2297.0,0.0
332197.0,66.0,230.69236755371094,1440.0,342.6917419433594,117437.625,413.10601806640625,2600.0,2600.0,0.0
142063.0,0.0,98.65486145019531,1440.0,244.2556915283203,59660.84375,263.4267272949219,2094.0,2094.0,0.0
250454.0,55.0,173.9263916015625,1440.0,245.7798309326172,60407.72265625,301.0948791503906,1398.0,1398.0,0.0
290971.0,128.0,202.06320190429688,1440.0,242.10169982910156,58613.234375,315.345458984375,2160.0,2160.0,0.0
322290.0,128.0,223.8125,1440.0,285.4621887207031,81488.6640625,362.74053955078125,2682.0,2682.0,0.0
367920.0,174.0,255.5,1440.0,305.5169982910156,93340.640625,398.2723693847656,2031.0,2031.0,0.0
338388.0,132.0,234.99166870117188,1440.0,282.4721984863281,79790.5390625,367.43927001953125,2370.0,2370.0,0.0
293852.0,99.0,204.0638885498047,1440.0,250.87062072753906,62936.06640625,323.38543701171875,1583.0,1583.0,0.0
286862.0,116.0,199.209716796875,1440.0,234.08297729492188,54794.84375,307.37493896484375,1583.0,1583.0,0.0
282059.0,132.0,195.87429809570312,1440.0,223.9514617919922,50154.25390625,297.5247802734375,2160.0,2160.0,0.0
247876.0,93.0,172.1361083984375,1440.0,208.01547241210938,43270.4375,270.00238037109375,1159.0,1159.0,0.0
232797.0,76.5,161.66458129882812,1440.0,206.4647979736328,42627.71484375,262.227294921875,1738.0,1738.0,0.0
235790.0,84.0,163.74305725097656,1440.0,205.3779296875,42180.09375,262.6630554199219,1849.0,1849.0,0.0
83126.0,0.0,57.72638702392578,1440.0,143.63418579101562,20630.78125,154.8002471923828,1159.0,1159.0,0.0
182177.0,0.0,126.51180267333984,1440.0,214.58807373046875,46048.04296875,249.10494995117188,1216.0,1216.0,0.0
217879.0,0.0,151.3048553466797,1440.0,235.2144012451172,55325.8125,279.6765441894531,1560.0,1560.0,0.0
274558.0,26.0,190.665283203125,1440.0,253.0451202392578,64031.83203125,316.8360290527344,2194.0,2194.0,0.0
287432.0,89.0,199.60556030273438,1440.0,245.6814422607422,60359.37109375,316.5466003417969,1560.0,1560.0,0.0
194241.0,0.0,134.88958740234375,1440.0,221.61415100097656,49112.83203125,259.43792724609375,1560.0,1560.0,0.0
202861.0,0.0,140.87570190429688,1440.0,224.93319702148438,50594.9453125,265.4070739746094,1466.0,1466.0,0.0
271157.0,24.0,188.303466796875,1440.0,251.3520965576172,63177.87890625,314.0638122558594,1179.0,1179.0,0.0
226859.0,7.0,157.5409698486328,1440.0,226.5279083251953,51314.890625,275.9239807128906,1560.0,1560.0,0.0
269972.0,50.0,187.48056030273438,1440.0,251.11326599121094,63057.87109375,313.37969970703125,1712.0,1712.0,0.0
282691.0,64.0,196.31320190429688,1440.0,255.69009399414062,65377.421875,322.3605041503906,2127.0,2127.0,0.0
277925.0,35.0,193.00347900390625,1440.0,267.64068603515625,71631.53125,329.9725341796875,1466.0,1466.0,0.0
210374.0,2.0,146.09304809570312,1440.0,228.56674194335938,52242.75390625,271.26727294921875,1107.0,1107.0,0.0
215380.0,2.0,149.56944274902344,1440.0,235.25808715820312,55346.37109375,278.77838134765625,2062.0,2062.0,0.0
235764.0,3.0,163.72500610351562,1440.0,238.63623046875,56947.25,289.4013366699219,1560.0,1560.0,0.0
131169.0,0.0,91.08958435058594,1440.0,196.93040466308594,38781.58203125,216.97671508789062,1421.0,1421.0,0.0
144929.0,0.0,100.6451416015625,1440.0,213.42002868652344,45548.109375,235.9609375,1659.0,1659.0,0.0
195064.0,3.0,135.4611053466797,1440.0,238.28619384765625,56780.3125,274.09857177734375,2269.0,2269.0,0.0
235164.0,49.0,163.30833435058594,1440.0,230.17967224121094,52982.6796875,282.22735595703125,1332.0,1332.0,0.0
228580.0,12.5,158.73611450195312,1440.0,237.9292755126953,56610.34375,286.02008056640625,2199.0,2199.0,0.0
182765.0,0.0,126.92013549804688,1440.0,226.799072265625,51437.8203125,259.89715576171875,2131.0,2131.0,0.0
181824.0,0.0,126.26667022705078,1440.0,214.5593719482422,46035.72265625,248.955810546875,1290.0,1290.0,0.0
328361.0,156.0,228.02847290039062,1440.0,261.1132507324219,68180.125,346.66571044921875,2415.0,2415.0,0.0
332928.0,175.0,231.1999969482422,1440.0,249.08343505859375,62042.5546875,339.8470153808594,1712.0,1712.0,0.0
266418.0,30.0,185.0124969482422,1440.0,256.754638671875,65922.9453125,316.46893310546875,1767.0,1767.0,0.0
224388.0,24.0,155.8249969482422,1440.0,230.49200439453125,53126.5625,278.2229309082031,1942.0,1942.0,0.0
262732.0,60.0,182.45277404785156,1440.0,256.5254211425781,65805.296875,314.7925109863281,3002.0,3002.0,0.0
