minimum_time,maximum_time,mean_time,median_time,variance_time,kurtosis_time,skewness_time,coeff_of_var_time,iqr_time,trimmed_mean_time,entropy_time,proportion_of_zeros,minimum_freq,maximum_freq,mean_freq,median_freq,variance_freq,kurtosis_freq,skewness_freq,coeff_of_var_freq,iqr_freq,trimmed_mean_freq,entropy_freq,spectral_flatness
6.1666665,685.2833,172.15556,142.325,36005.164,1.8799753026361676,1.527818319152618,1.0789955,218.60416841506958,137.98335,3.8282471289500855,0.0,82397.81,834546.06,335560.84,233226.97,55638070000.0,-0.5606554805584754,0.8607301752633801,0.7029343,293449.84375,313213.38,3.365022521775464,0.77667385
0.0,796.3,245.75484,247.39166,57723.97,0.3458294647841087,1.01874629576074,0.9570493,304.60832476615906,216.02084,3.887606596930082,0.041666666666666664,252409.64,1956904.4,1142475.5,1115441.5,288829340000.0,-1.2190022699886076,-0.19720836927079724,0.47040698,844204.9375,1149351.5,3.52070156130178,0.85409087
3.2166667,674.01666,181.04791,176.475,30043.44,0.9459831574547368,1.0442401998238489,0.9372158,246.10416436195374,157.91333,3.91957060448884,0.0,164476.55,1199671.4,637697.1,646769.44,124523040000.0,-1.2458243626074097,0.15409992292585278,0.5533633,649510.75,629628.56,3.4634932523187754,0.81994116
0.0,349.53333,83.25417,33.175,9257.124,0.6948466669807054,1.2642244732591181,1.1313326,121.29166960716248,69.060005,3.739316276050134,0.041666666666666664,26240.365,207499.75,136913.22,144067.7,3647907600.0,-1.011306909880883,-0.5775562398774087,0.4411401,104790.2265625,140557.42,3.5318315905350177,0.85148317
0.0,445.53333,143.92152,133.2,13587.826,0.00671609245682836,0.7402965712670742,0.7928801,175.29583072662354,133.34416,4.099717271788107,0.041666666666666664,129669.68,917544.56,434173.34,332580.53,66892755000.0,-0.8256749450805847,0.7127908765010922,0.59569836,378387.953125,417912.72,3.455334051396542,0.83562845
0.0,807.85,143.01459,111.51666,26647.9,9.632783522657864,2.8807686991929335,1.1174021,149.68332719802856,117.93584,3.911209495934494,0.041666666666666664,60004.098,267670.28,148122.84,121516.305,3878964700.0,-0.8132694640991396,0.5336168669729141,0.42047083,89709.3359375,145265.69,3.5751973599153763,0.9135148
0.28333333,817.35,198.25487,154.03333,49989.03,1.3389426923473255,1.4324258753032357,1.104007,237.98332476615906,162.31668,3.768255452745517,0.0,142980.66,3919080.2,1603389.2,874980.44,1546212700000.0,-1.0587851421309267,0.6627715973022222,0.77552474,1707198.5625,1525636.0,3.270374621595531,0.69105035
0.36666667,823.61664,318.8472,192.66666,94929.445,-1.5414232186840089,0.33311577043574125,0.9459674,598.2291707992554,301.74585,3.8209805179858303,0.0,350120.4,3348120.0,1093360.9,597831.44,928238860000.0,0.0926721795905121,1.2631394521257746,0.8811835,955568.5,955950.06,3.229032056119922,0.72691876
2.3,776.81665,213.32082,143.10834,54484.37,0.6591462733543016,1.384895228584281,1.0711765,178.97499752044678,179.15665,3.857879051763144,0.0,114939.61,1067932.6,479387.28,397837.03,79105870000.0,-0.4217109379180384,0.8137114129162044,0.58670235,353338.875,459014.72,3.4633037274375247,0.8374918
0.0,1039.55,268.6396,146.29999,92648.914,0.46826544881372856,1.2893063821014072,1.1091964,354.2666549682617,226.11665,3.7838701015826532,0.041666666666666664,455658.94,2405517.5,1051688.5,963250.8,343490600000.0,-0.11052991492698805,0.9202798851490218,0.55727595,656660.5,982797.56,3.491401221039585,0.8624023
3.65,369.18332,133.58263,126.63333,14138.796,-1.0073136626841692,0.4759019013663511,0.8713939,206.31249713897705,123.3775,3.974655271698991,0.0,68298.05,796464.56,419809.8,440283.66,47313680000.0,-0.9315812194867719,0.07732829567902724,0.51813245,271158.609375,417524.1,3.486251372542149,0.8250326
7.016667,490.13333,150.34721,141.45833,14865.102,0.6572338349405435,0.9261084062160685,0.7938654,170.70000076293945,137.94583,4.118022761180642,0.0,47266.918,1054363.0,588783.94,592147.9,82937430000.0,-0.7205249132703573,-0.017322758296735335,0.48912442,387251.71875,595687.44,3.5013452579124724,0.81278807
0.46666667,412.68332,113.25486,62.108337,15409.473,-0.06622580254485211,1.0219742898330897,1.0729892,169.34583187103271,96.52583,3.7733743443657977,0.0,38034.77,1403615.9,492286.12,315856.75,201095000000.0,-0.5767408784104808,0.9317212991433893,0.9109259,660884.484375,450733.47,3.1355508862434425,0.61392826
1.7166667,232.35,60.809025,39.741665,3038.652,1.7429628518008746,1.2537340242223913,0.88742316,77.70000123977661,54.5625,4.044320628049291,0.0,18881.691,215126.23,122285.336,119201.62,3340517400.0,-0.8561276971789811,0.09323918284935936,0.4726422,74916.5,123245.59,3.523902158434337,0.85387605
