minimum_time,maximum_time,mean_time,median_time,variance_time,kurtosis_time,skewness_time,coeff_of_var_time,iqr_time,trimmed_mean_time,entropy_time,proportion_of_zeros,minimum_freq,maximum_freq,mean_freq,median_freq,variance_freq,kurtosis_freq,skewness_freq,coeff_of_var_freq,iqr_freq,trimmed_mean_freq,entropy_freq,spectral_flatness
15.783334,685.2833,280.11667,237.25,39269.246,0.39588240848860545,1.0824700701208398,0.67968285,132.5333251953125,267.31366,3.378848500432316,0.0,262606.56,1724333.9,915207.0,855008.3,234566220000.0,-1.2570502950594689,0.3323547261785209,0.52919215,785930.625,900977.44,3.493877028907738,0.8513988
182.01666,796.3,401.8577,311.66666,45296.906,-0.45947541400628245,1.0904272791973073,0.50883967,92.0,385.98483,3.533736189305498,0.0,90713.85,5029182.0,1812168.0,1538357.6,2465941000000.0,-0.5629329859935543,0.7410721880340622,0.86654854,2257777.65625,1676207.9,3.1313966128685005,0.5367429
137.06667,674.01666,292.3641,250.66667,21732.924,1.6612863104847566,1.551003320707894,0.4844556,107.7166748046875,271.78635,3.554282449253931,0.0,133741.61,4070511.2,1531701.4,673207.75,1983556700000.0,-1.046925051068303,0.7398938549132019,0.91949254,2347576.25,1427987.8,3.102491744890395,0.58923286
7.0833335,349.53333,129.05,127.26667,12182.754,-0.7825623798771888,0.43642378897165857,0.82173854,182.56666374206543,120.09395,3.1459270348929516,0.0,14262.105,436626.12,264323.8,313146.84,16283024000.0,-0.7607244675359186,-0.6877292193125283,0.48275995,162477.8125,271392.88,3.4810203452116766,0.7665507
102.6,445.53333,225.8295,212.01666,8654.311,0.4238211124176656,0.9143506339600792,0.39578062,119.11666870117188,217.05908,3.593474127009139,0.0,34684.88,637806.0,217725.84,169301.27,36858827000.0,-0.2743736737614557,1.0543180446805591,0.8817811,154081.7890625,196176.8,3.187613896080547,0.66227496
43.75,807.85,212.8718,180.95,35874.2,5.881096358095611,2.57279814593043,0.8548539,90.95000457763672,174.15758,3.3269391986411923,0.0,13978.801,487246.25,228254.11,220800.3,16649350000.0,-0.6435746087785343,0.29590520572136697,0.56530136,193025.671875,224188.94,3.4450822325122106,0.7682135
95.05,817.35,337.1308,247.96666,48492.66,-0.011165440426140982,1.1444737585886393,0.6275647,165.2666778564453,315.4818,3.4479004695200417,0.0,97314.87,7713953.5,2570432.5,1476030.6,6123516000000.0,-0.5410895789815546,0.9533881969615591,0.9627072,2406069.5,2327668.8,3.0618519955949655,0.5365423
190.65,823.61664,560.2051,605.7167,42711.64,-0.6536728789973432,-0.6307140209474494,0.35444188,274.0000305175781,569.85455,3.5962600587488036,0.0,122531.97,1225782.9,549797.1,441221.12,82569980000.0,0.10828741393919028,0.8962351886505757,0.5226472,394219.21875,527186.1,3.5120041873478725,0.86726224
32.733334,776.81665,325.89487,235.11667,70677.914,-1.1336833770970833,0.6260758314349034,0.78376037,441.88331604003906,311.553,3.257294716932468,0.0,81046.305,4429357.5,1576623.4,1162003.4,1920186200000.0,-0.2849632928913528,0.9527509123307847,0.87890863,1491241.375,1453245.2,3.1616686744513207,0.60472375
45.15,1039.55,442.518,381.3,103515.48,-0.9658904663924113,0.563379226015974,0.698539,489.7833557128906,424.3667,3.3404409582908565,0.0,1097533.9,8921649.0,3761952.2,3569497.2,5065135000000.0,0.03780930597057797,0.9501807726319325,0.5982494,2305054.0,3535108.8,3.458334856327665,0.8374414
33.883335,369.18332,211.87694,216.33333,9797.489,-0.6200507022254649,-0.10298370621075056,0.44884115,111.84999084472656,213.75758,3.5355837909098744,0.0,14623.359,633671.9,341865.0,313680.62,44869132000.0,-1.4650908690911062,-0.08014847425250364,0.61961114,408496.40625,345086.28,3.3717099529245433,0.6920252
